 96.097690      24.385357
  95.406800      23.625500
  94.669600      21.653600
  94.181600      19.788100
  93.491900      17.605100
  92.694700      14.711300
  91.450000      10.461600
   nan           nan   
  98.775066      27.228240
  97.980400      26.462100
  96.891000      25.242900
  96.097690      24.385357
   nan            nan 
  98.775066      27.228240
  97.980400      26.462100
  96.891000      25.242900
  95.406800      23.625500
  94.669600      21.653600
  94.181600      19.788100
  93.491900      17.605100
  92.694700      14.711300
  91.450000      10.461600
  nan              nan
  91.450000      10.461600
  92.064400       7.100300
  93.434800       4.525800
  95.745000       1.458500
  98.050900      -1.790500
  100.038000      -4.494900
  101.669000      -6.345200
  104.180000      -7.276700
  108.569000      -8.994900
  114.371000      -9.615600
  120.943000      -10.782700
  125.297000      -11.358000
  128.919000      -9.801020
  132.136000      -4.637100
  132.320173      -3.968230
  nan             nan
  91.450000      10.461600
  91.642221       9.416791
  nan              nan 
  91.642221       9.416791
  92.064400       7.100300
  93.434800       4.525800
  95.745000       1.458500
  98.050900      -1.790500
  100.038000      -4.494900
  101.669000      -6.345200
  104.180000      -7.276700
  104.972584      -7.591464
  nan              nan
  104.972584      -7.591464
  108.569000      -8.994900
  114.371000      -9.615600
  120.943000      -10.782700
  125.297000      -11.358000
  128.919000      -9.801020
  132.136000      -4.637100
  132.320173      -3.968230
