119.817566666667 -0.201092069892473 1
119.825927150538 -0.24767190860215 1
119.829510215054 -0.340831586021505 1
119.810400537634 -0.367107392473118 1
119.799651344086 -0.411298521505376 1
119.819955376344 -0.490125940860215 1
119.816372311828 -0.51042997311828 1
119.829510215054 -0.557009811827957 1
119.83309327957 -0.610755779569892 1
119.830704569892 -0.653752553763441 1
119.827121505376 -0.686000134408602 1

119.841453763441 -0.884263037634409 1
119.847425537634 -0.921288037634409 1
119.86056344086 -0.949952553763441 1
119.86056344086 -0.988171908602151 1
119.864146505376 -1.05027836021505 1
119.864146505376 -1.08610900537634 1
119.884450537634 -1.18285174731183 1
119.95372311828 -1.23540336021505 1
119.959694892473 -1.29870416666667 1
119.97163844086 -1.37394852150538 1
119.977610215054 -1.43724932795699 1
